Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
The Marina Inn on San Francisco Bay,https://exp.cdn-hotels.com/hotels/1000000/60000/51200/51116/b9e253e9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,68 Monarch Bay Dr San Leandro 94577 CA,San Leandro,14 miles to San Francisco,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Parking available,Airport transfer,Gym,$122 ,No-frills San Leandro hotel with outdoor pool,Standard Double Room
Best Western Coyote Point Inn,https://exp.cdn-hotels.com/hotels/1000000/890000/880800/880752/203e1146_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,480 N Bayshore Boulevard San Mateo 94401 CA,San Mateo,15 miles to San Francisco,4.3 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Gym,Free breakfast,,$116 ,Within easy reach of Coyote Point Park,Standard Room 1 King Bed Non Smoking Microwave
La Quinta Inn & Suites by Wyndham Oakland Airport Coliseum,https://exp.cdn-hotels.com/hotels/1000000/10000/2900/2815/20047223_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,8465 Enterprise Way Oakland 94621 CA,Oakland,12 miles to San Francisco,14 miles to San Francisco International Airport (SFO),,Good,Pool,Free parking,Pet-friendly,Airport transfer,$94 ,Hotel with outdoor pool near RingCentral Coliseum ,Standard Room 2 Queen Beds
Courtyard by Marriott Richmond/Berkeley,https://exp.cdn-hotels.com/hotels/1000000/10000/5700/5610/876803fd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3150 Garrity Way San Pablo 94806 CA,San Pablo,14 miles to San Francisco,25 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Free parking,Gym,Restaurant,,,
A Country Retreat Near San Francisco,https://exp.cdn-hotels.com/hotels/33000000/32400000/32392300/32392253/7887d440_y.jpg?impolicy=fcrop&w=1000&h=666&q=medium,Mill Valley CA,Mill Valley,9.1 miles to San Francisco,20 miles to San Francisco International Airport (SFO),10,Exceptional,Parking available,Parking available,Pet-friendly,Kitchen,,,
Beautiful Secluded Bay View Cottage in the Trees,https://exp.cdn-hotels.com/hotels/19000000/18770000/18763500/18763437/531f02a7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,San Rafael CA,San Rafael,14 miles to San Francisco,26 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Kitchen,Bathtub,,,
Hot Tub/Sauna/Jacuzzi/Pets/Electric Fireplace/15 Min to Golden Gate Bridge,,San Rafael CA,San Rafael,17 miles to San Francisco,29 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Kitchen,Bathtub,,,
Ocean views from every room!!,,Sausalito CA,Sausalito,11 miles to San Francisco,20 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Kitchen,Bathtub,,,
Cozy Comfortable Beach Home Steps from the Beach!,,Stinson Beach CA,Stinson Beach,15 miles to San Francisco,24 miles to San Francisco International Airport (SFO),10,Exceptional,Parking available,Parking available,Pet-friendly,Kitchen,,,
Brand New Cottage In Great Berkeley Neighborhood.,,Berkeley CA,Berkeley,9.6 miles to San Francisco,18 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Pet-friendly,Kitchen,,,
Relax and enjoy the California Coast from this beautiful private suite,,Montara CA,Montara,18 miles to San Francisco,8.9 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Pet-friendly,,,,
Steps to the Ocean; Lei and Real Beach Cottage -Stinson Beach ~ CA ~,,Stinson Beach CA,Stinson Beach,15 miles to San Francisco,24 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Pet-friendly,Kitchen,,,
DETACHED GUEST HOUSE: Walk To Town 1030 Sq Ft 1 BR/1.5 BA Mt. Tam Vie,,Mill Valley CA,Mill Valley,11 miles to San Francisco,22 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Parking available,Kitchen,,,,
Million Dollard View Private Two-Bedroom Suite,,Oakland CA,Oakland,10 miles to San Francisco,18 miles to San Francisco International Airport (SFO),10,Exceptional,Parking available,Parking available,Kitchen,,,,
Casita Azul-a cute jewelbox Cottage Five houses to the beach,,Stinson Beach CA,Stinson Beach,15 miles to San Francisco,24 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Pet-friendly,Kitchen,,,
Walk to Trendy Temescal & College Ave - 2+ BR,,Oakland CA,Oakland,9.0 miles to San Francisco,17 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Kitchen,Bathtub,,,
Spacious Master Bedroom Private Bath & Entrance Deck BBQ 2 d min 2 per max.,,Pacifica CA,Park Pacifica,15 miles to San Francisco,5.1 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Parking available,,,,,
Famous Private and Quaint Hideaway Cottage in Hills of Mill Valley,,Mill Valley CA,Mill Valley,12 miles to San Francisco,22 miles to San Francisco International Airport (SFO),10,Exceptional,Parking available,Parking available,Kitchen,Bathtub,,,
Iconic Mushroom House Dramatic Ocean View Getaway,,Bolinas CA,Bolinas,18 miles to San Francisco,26 miles to San Francisco International Airport (SFO),10,Exceptional,Parking available,Parking available,Kitchen,,,,
Private Studio  spectacular  Ocean View  bathroom  kitchenette Very Quiet,,Half Moon Bay CA,Half Moon Bay,20 miles to San Francisco,8.5 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,,,,,
